1,22,0.342
1,22,0.362
1,22,0.424
1,22,0.487
1,22,0.511
1,22.25,0.351
1,22.25,0.372
1,22.25,0.437
1,22.25,0.47
1,22.25,0.529
1,22.5,0.342
1,22.5,0.359
1,22.5,0.419
1,22.5,0.481
1,22.5,0.522
1,22.75,0.346
1,22.75,0.356
1,22.75,0.393
1,22.75,0.443
1,22.75,0.466
1,23,0.308
1,23,0.309
1,23,0.397
1,23,0.417
1,23,0.456
1,23.25,0.274
1,23.25,0.297
1,23.25,0.387
1,23.25,0.398
1,23.25,0.435
1,23.5,0.256
1,23.5,0.275
1,23.5,0.342
1,23.5,0.37
1,23.5,0.394
1,23.75,0.219
1,23.75,0.235
1,23.75,0.287
1,23.75,0.379
1,23.75,0.38
1,0,0.201
1,0,0.289
1,0,0.325
1,0,0.347
1,0.25,0.194
1,0.25,0.28
1,0.25,0.293
1,0.25,0.325
1,0.5,0.191
1,0.5,0.254
1,0.5,0.308
1,0.5,0.312
1,0.75,0.184
1,0.75,0.228
1,0.75,0.284
1,0.75,0.315
1,1,0.185
1,1,0.203
1,1,0.288
1,1,0.288
1,1.25,0.18
1,1.25,0.186
1,1.25,0.263
1,1.25,0.276
1,1.5,0.191
1,1.5,0.22
1,1.5,0.248
1,1.5,0.287
1,1.75,0.176
1,1.75,0.192
1,1.75,0.195
1,1.75,0.292
1,2,0.178
1,2,0.182
1,2,0.283
1,2.25,0.161
1,2.25,0.178
1,2.25,0.25
1,2.5,0.17
1,2.5,0.189
1,2.5,0.235
1,2.75,0.166
1,2.75,0.177
1,2.75,0.242
1,3,0.158
1,3,0.156
1,3,0.277
1,3.25,0.165
1,3.25,0.15
1,3.25,0.261
1,3.25,0.373
1,3.5,0.168
1,3.5,0.254
1,3.75,0.172
1,3.75,0.254
1,3.75,0.407
1,4,0.157
1,4,0.18
1,4,0.254
1,4,0.256
1,4.25,0.187
1,4.25,0.196
1,4.25,0.275
1,4.25,0.281
1,4.5,0.201
1,4.5,0.226
1,4.5,0.277
1,4.5,0.281
1,4.75,0.201
1,4.75,0.222
1,4.75,0.306
1,4.75,0.321
1,5,0.196
1,5,0.254
1,5,0.286
1,5,0.313
1,5.25,0.205
1,5.25,0.275
1,5.25,0.315
1,5.25,0.333
1,5.5,0.211
1,5.5,0.309
1,5.5,0.347
1,5.5,0.391
1,5.75,0.269
1,5.75,0.339
1,5.75,0.39
1,5.75,0.397
1,6,0.297
1,6,0.392
1,6,0.403
1,6,0.429
1,6.25,0.318
1,6.25,0.436
1,6.25,0.44
1,6.25,0.446
1,6.5,0.352
1,6.5,0.46
1,6.5,0.489
1,6.5,0.496
1,6.75,0.432
1,6.75,0.47
1,6.75,0.48
1,6.75,0.52
1,7,0.438
1,7,0.51
1,7,0.518
1,7.25,0.445
1,7.25,0.534
1,7.25,0.54
1,7.5,0.431
1,7.5,0.514
1,7.5,0.551
1,7.75,0.429
1,7.75,0.487
1,7.75,0.542
1,8,0.423
1,8,0.459
1,8.25,0.254
1,8.25,0.411
1,8.25,0.416
1,8.25,0.537
1,8.25,0.545
1,8.5,0.405
1,8.5,0.41
1,8.5,0.432
1,8.5,0.525
1,8.5,0.537
1,8.75,0.389
1,8.75,0.395
1,8.75,0.423
1,8.75,0.501
1,8.75,0.527
1,9,0.386
1,9,0.435
1,9,0.47
1,9,0.493
1,9,0.493
1,9.25,0.396
1,9.25,0.415
1,9.25,0.5
1,9.25,0.502
1,9.25,0.536
